topic_id,nb_articles
-1,2526
0,120
1,102
2,73
3,70
4,63
5,61
6,60
7,60
8,57
9,52
10,51
11,48
12,46
13,46
14,44
15,40
16,37
18,34
17,34
19,32
20,32
21,32
22,31
23,30
24,29
25,28
26,27
27,26
31,25
29,25
28,25
30,25
32,25
36,23
37,23
34,23
33,23
35,23
43,22
42,22
39,22
38,22
40,22
41,22
45,21
47,21
44,21
48,21
46,21
52,20
49,20
54,20
55,20
53,20
50,20
51,20
60,19
61,19
57,19
59,19
58,19
56,19
63,18
62,18
68,18
64,18
65,18
67,18
66,18
72,17
70,17
69,17
73,17
71,17
77,16
74,16
75,16
76,16
84,15
80,15
86,15
85,15
79,15
81,15
83,15
82,15
78,15
95,14
94,14
89,14
93,14
90,14
96,14
91,14
87,14
92,14
88,14
114,13
111,13
112,13
109,13
99,13
105,13
106,13
100,13
107,13
98,13
104,13
101,13
97,13
103,13
108,13
102,13
110,13
113,13
120,12
116,12
119,12
118,12
117,12
115,12
121,12
128,11
139,11
132,11
126,11
141,11
144,11
133,11
127,11
142,11
131,11
150,11
125,11
135,11
129,11
134,11
124,11
123,11
148,11
140,11
145,11
122,11
130,11
147,11
138,11
149,11
137,11
146,11
143,11
136,11
165,10
158,10
161,10
152,10
170,10
175,10
157,10
163,10
156,10
172,10
174,10
153,10
160,10
155,10
167,10
164,10
162,10
166,10
154,10
151,10
168,10
173,10
169,10
171,10
159,10
194,9
185,9
195,9
176,9
183,9
191,9
182,9
178,9
184,9
192,9
199,9
189,9
186,9
188,9
179,9
180,9
190,9
181,9
197,9
198,9
187,9
177,9
196,9
193,9
220,8
223,8
201,8
207,8
211,8
227,8
218,8
221,8
224,8
222,8
217,8
200,8
206,8
203,8
210,8
208,8
219,8
212,8
205,8
204,8
202,8
228,8
216,8
215,8
225,8
229,8
214,8
226,8
213,8
209,8
278,7
267,7
235,7
241,7
252,7
253,7
249,7
237,7
231,7
275,7
276,7
271,7
270,7
269,7
260,7
240,7
272,7
274,7
257,7
233,7
238,7
254,7
266,7
232,7
239,7
277,7
264,7
262,7
265,7
268,7
279,7
234,7
247,7
248,7
236,7
256,7
273,7
251,7
244,7
258,7
263,7
259,7
243,7
245,7
246,7
250,7
255,7
242,7
261,7
230,7
284,6
303,6
331,6
339,6
309,6
317,6
318,6
326,6
327,6
322,6
321,6
319,6
316,6
315,6
313,6
312,6
311,6
308,6
307,6
306,6
305,6
328,6
334,6
337,6
338,6
335,6
283,6
293,6
295,6
285,6
290,6
291,6
289,6
288,6
298,6
286,6
281,6
329,6
300,6
297,6
299,6
294,6
280,6
296,6
301,6
332,6
333,6
336,6
330,6
302,6
304,6
310,6
314,6
324,6
325,6
323,6
320,6
287,6
282,6
292,6
416,5
385,5
388,5
389,5
390,5
391,5
392,5
393,5
395,5
405,5
408,5
415,5
413,5
412,5
411,5
410,5
409,5
407,5
406,5
404,5
383,5
403,5
402,5
401,5
400,5
399,5
398,5
397,5
396,5
394,5
387,5
386,5
414,5
384,5
418,5
382,5
419,5
421,5
420,5
417,5
347,5
369,5
365,5
362,5
364,5
345,5
370,5
355,5
353,5
352,5
351,5
349,5
340,5
357,5
380,5
360,5
358,5
361,5
363,5
366,5
367,5
368,5
381,5
371,5
372,5
373,5
374,5
375,5
377,5
378,5
359,5
343,5
344,5
356,5
350,5
346,5
342,5
341,5
376,5
354,5
348,5
379,5
436,4
496,4
511,4
507,4
504,4
498,4
526,4
456,4
439,4
440,4
444,4
445,4
450,4
430,4
477,4
478,4
482,4
473,4
465,4
469,4
468,4
464,4
461,4
475,4
483,4
479,4
438,4
454,4
434,4
433,4
428,4
423,4
449,4
442,4
534,4
532,4
520,4
499,4
503,4
505,4
533,4
448,4
512,4
451,4
422,4
484,4
472,4
467,4
459,4
458,4
455,4
431,4
535,4
501,4
509,4
536,4
495,4
521,4
515,4
519,4
518,4
517,4
516,4
514,4
510,4
502,4
500,4
497,4
494,4
522,4
531,4
523,4
530,4
529,4
493,4
443,4
446,4
447,4
492,4
452,4
453,4
437,4
435,4
424,4
425,4
429,4
457,4
480,4
476,4
485,4
486,4
487,4
490,4
462,4
463,4
470,4
471,4
525,4
460,4
474,4
488,4
481,4
427,4
441,4
491,4
524,4
528,4
537,4
506,4
508,4
538,4
527,4
513,4
426,4
432,4
489,4
466,4
548,3
553,3
543,3
589,3
587,3
594,3
584,3
577,3
567,3
568,3
572,3
582,3
583,3
585,3
588,3
552,3
554,3
556,3
541,3
672,3
669,3
665,3
663,3
661,3
660,3
658,3
657,3
656,3
654,3
699,3
696,3
693,3
688,3
684,3
617,3
614,3
611,3
609,3
607,3
606,3
605,3
603,3
602,3
598,3
597,3
624,3
647,3
646,3
645,3
644,3
641,3
637,3
628,3
627,3
626,3
625,3
595,3
676,3
629,3
630,3
631,3
632,3
633,3
634,3
635,3
636,3
638,3
639,3
640,3
642,3
643,3
622,3
621,3
599,3
600,3
601,3
604,3
608,3
610,3
612,3
613,3
615,3
616,3
618,3
619,3
620,3
648,3
649,3
650,3
651,3
679,3
680,3
681,3
682,3
683,3
685,3
686,3
687,3
678,3
689,3
691,3
692,3
694,3
695,3
697,3
698,3
700,3
690,3
677,3
675,3
652,3
653,3
655,3
659,3
662,3
664,3
666,3
667,3
668,3
670,3
671,3
673,3
674,3
623,3
596,3
542,3
540,3
549,3
558,3
555,3
544,3
560,3
562,3
592,3
591,3
581,3
578,3
563,3
576,3
571,3
561,3
564,3
565,3
566,3
569,3
570,3
573,3
574,3
575,3
580,3
590,3
593,3
579,3
546,3
557,3
551,3
559,3
547,3
545,3
586,3
550,3
539,3
701,3
